[00:10.20] たまにはケンカもしてきたけど
[00:12.26] だからこそ何でも知ってんだ
[00:17.09] ただ妄想癖がひどい！
[00:48.89] 全てとにかくおかしくなった
[00:51.41] 占いなんか信じてなかったのに
[00:54.02] 気付けばのめり込んでいた
[00:55.80] 変な音楽ばかりすすめて
[00:58.24] 変なマンガばかり押し付けて
[01:00.56] ヒトの人生左右しといて
[01:02.60] ふざけんな 覚えてろ コノヤロー！
[01:14.06] え何？あのマンガの主人公が
[01:16.50] 今週敵を倒したって？
[01:19.00] って何回言えば分かるんだ
[01:21.05] 僕は単行本派なんだ！
[01:23.58] ああ次が出るのいつだっけ
[01:27.20] それ読むまでは絶対許さない！
[01:45.84] 答え合わせするのかな
[01:54.84] 忘れるまで秘めたまま
[01:59.58] さあさあレディース・エン・ジェントルメン
[02:01.94] これよりお目にかけますは
[02:04.41] 一世一代の大舞台
[02:06.57] 長くてもどうぞごゆっくり
[02:36.58] ホントのホントーに飛べる日 目指して
[02:41.11] もうちょっとだけ一緒に居ませんか！
